YEAR_BLOCK_ID,SURVEY_YEAR
110,1981
110,1982
110,1983
110,1984
110,1985
110,1986
110,1987
110,1988
110,1989
110,1990
110,1991
110,1992
110,1993
110,1994
110,1995
110,1996
110,1997
110,1998
110,1999
110,2000
110,2001
110,2002
110,2003
110,2004
110,2005
110,2006
110,2007
110,2008
110,2009
110,2010
110,2011
110,2012
110,2013
110,2014
110,2015
110,2016
110,2017
110,2018
110,2019
110,2020
110,2021
110,2022
110,2023
120,1983
120,1984
120,1985
120,1986
120,1987
120,1988
120,1989
120,1990
120,1991
120,1992
120,1993
120,1994
120,1995
120,1996
120,1997
120,1998
120,1999
120,2000
120,2001
120,2002
120,2003
120,2004
120,2005
120,2006
120,2007
120,2008
120,2009
120,2010
120,2011
120,2012
120,2013
120,2014
120,2015
120,2016
120,2017
120,2018
120,2019
120,2020
120,2021
120,2022
120,2023
130,2024
201,1975
202,1976
203,1977
204,1978
205,1979
206,1982
207,1980
207,1981
207,1983
207,1984
207,1985
207,1986
207,1987
207,1988
207,1989
207,1990
207,1991
207,1992
207,1993
207,1994
207,1995
207,1996
207,1997
207,1998
207,1999
207,2000
207,2001
207,2002
207,2003
207,2004
207,2005
207,2006
207,2007
207,2008
207,2009
207,2010
207,2011
207,2012
207,2013
207,2014
207,2015
207,2016
207,2017
207,2018
207,2019
207,2020
207,2021
207,2022
207,2023
207,2024
301,1975
302,1976
302,1977
302,1978
303,1979
304,1980
401,1975
402,1976
403,1977
403,1978
403,1979
404,1980
501,1976
502,1978
503,1979
504,1980
505,1981
506,1982
507,1983
508,1984
509,1985
510,1986
511,1987
511,1988
511,1989
511,1990
511,1991
511,1992
511,1993
511,1994
511,1995
511,1996
511,1997
511,1998
511,1999
511,2000
511,2001
511,2002
511,2003
511,2004
511,2005
511,2006
511,2007
511,2008
511,2009
511,2010
511,2011
511,2012
511,2013
511,2014
511,2015
511,2016
511,2017
511,2018
511,2019
511,2020
511,2021
511,2022
511,2023
601,1975
602,1976
603,1977
604,1978
605,1979
606,1981
607,1980
607,1982
607,1983
607,1984
607,1985
607,1986
607,1987
607,1988
607,1989
607,1990
607,1991
607,1992
607,1993
607,1994
607,1995
607,1996
607,1997
607,1998
607,1999
607,2000
607,2001
607,2002
607,2003
607,2004
607,2005
607,2006
607,2007
607,2008
607,2009
607,2010
607,2011
607,2012
607,2013
607,2014
607,2015
607,2016
607,2017
607,2018
607,2019
607,2020
607,2021
607,2022
607,2023
607,2024
701,1975
702,1976
703,1977
704,1978
705,1979
706,1980
707,1981
708,1982
709,1983
710,1984
711,1985
712,1986
713,1987
714,1992
715,1989
715,1990
715,1991
715,1993
715,1994
715,1995
715,1996
715,1997
715,1998
715,1999
715,2000
715,2001
715,2002
715,2003
715,2004
715,2005
715,2006
715,2007
715,2008
715,2009
715,2010
715,2011
715,2012
715,2013
715,2014
715,2015
715,2016
715,2017
715,2018
715,2019
715,2020
715,2021
715,2022
715,2023
801,1980
802,1981
803,1982
804,1983
805,1984
806,1985
807,1986
808,1987
809,1992
810,1988
810,1989
810,1990
810,1991
810,1993
810,1994
810,1995
810,1996
810,1997
810,1998
810,1999
810,2000
810,2001
810,2002
810,2003
810,2004
810,2005
810,2006
810,2007
810,2008
810,2009
810,2010
810,2011
810,2012
810,2013
810,2014
810,2015
810,2016
810,2017
810,2018
810,2019
810,2020
810,2021
810,2022
810,2023
