STATION_ID,LONGITUDE,LATITUDE,bairdi,bkc,ei,hybrid,opilio,rkc,TYPE
A-02,-166.93,55,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
A-03,-166.33,55,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
A-04,-165.75,55,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
A-05,-165.15,55,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
A-06,-164.58,55,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
AZ0405,-165.52,54.83,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,misc
B-01,-167.55,55.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
B-02,-166.97,55.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
B-03,-166.35,55.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
B-04,-165.78,55.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
B-05,-165.17,55.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
B-06,-164.58,55.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
B-07,-164,55.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
B-08,-163.42,55.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-01,-167.58,55.67,West 166,Pribilof Single,Bristol Bay,Single,Single,Bristol Bay,standard
C-02,-166.98,55.67,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-03,-166.38,55.67,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-04,-165.8,55.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-05,-165.17,55.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-06,-164.58,55.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-07,-164,55.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-08,-163.4,55.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-09,-162.83,55.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
C-18,-168.18,55.67,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
D-01,-167.62,56,West 166,Pribilof Single,Bristol Bay,Single,Single,Bristol Bay,standard
D-02,-167,56,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-03,-166.4,56,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-04,-165.78,56,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-05,-165.18,56,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-06,-164.58,56,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-07,-164,56,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-08,-163.4,56,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-09,-162.82,56,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-10,-162.23,56,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
D-18,-168.22,56,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
E-01,-167.65,56.33,West 166,Pribilof Single,Bristol Bay,Single,Single,Bristol Bay,standard
E-02,-167.03,56.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-03,-166.42,56.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-04,-165.8,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-05,-165.2,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-06,-164.58,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-07,-164,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-08,-163.4,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-09,-162.8,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-10,-162.2,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-11,-161.62,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-12,-161,56.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
E-18,-168.25,56.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
E-19,-168.87,56.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
