SPECIES,DISTRICT,N_STATIONS,TOTAL_AREA,YEAR_BLOCK_ID
bairdi,Pribilof MTCA,25,10025,110
bairdi,St. Matthew MTCA,18,7218,120
bairdi,West 166,230,92230,130
bairdi,East 166,76,30476,601
bairdi,East 166,106,42506,602
bairdi,East 166,75,30075,603
bairdi,East 166,89,35689,604
bairdi,East 166,119,47719,605
bairdi,East 166,104,41704,606
bairdi,East 166,120,48120,607
bairdi,West 166,61,24461,701
bairdi,West 166,108,43308,702
bairdi,West 166,80,32080,703
bairdi,West 166,12,4812,704
bairdi,West 166,188,75388,705
bairdi,West 166,201,80601,706
bairdi,West 166,168,67368,707
bairdi,West 166,185,74185,708
bairdi,West 166,165,66165,709
bairdi,West 166,167,66967,710
bairdi,West 166,166,66566,711
bairdi,West 166,166,66566,712
bairdi,West 166,174,69774,713
bairdi,West 166,169,67769,714
bairdi,West 166,187,74987,715
bkc,BKC Unstratified,NA,NA,100
bkc,Pribilof MTCA,25,10025,110
bkc,Pribilof Single,45,18045,110
bkc,St. Matthew MTCA,18,7218,120
bkc,Pribilof Single,70,28070,130
bkc,St. Matthew Single,47,18847,130
bkc,Pribilof Single,46,18446,401
bkc,Pribilof Single,59,23659,402
bkc,Pribilof Single,58,23258,403
bkc,Pribilof Single,70,28070,404
bkc,St. Matthew Single,12,4812,501
bkc,St. Matthew Single,40,16040,502
bkc,St. Matthew Single,37,14837,503
bkc,St. Matthew Single,38,15238,504
bkc,St. Matthew Single,38,15238,505
bkc,St. Matthew Single,40,16040,506
bkc,St. Matthew Single,27,10827,507
bkc,St. Matthew Single,27,10827,508
bkc,St. Matthew Single,26,10426,509
bkc,St. Matthew Single,27,10827,510
bkc,St. Matthew Single,29,11629,511
ei,Northern Unstratified,NA,NA,100
ei,Pribilof MTCA,25,10025,110
ei,Pribilof Single,36,14436,110
ei,Pribilof Single,61,24461,130
ei,Bristol Bay,98,39298,201
ei,Bristol Bay,129,51729,202
ei,Bristol Bay,98,39298,203
ei,Bristol Bay,115,46115,204
ei,Bristol Bay,135,54135,205
ei,Bristol Bay,135,54135,206
ei,Bristol Bay,136,54536,207
ei,Pribilof Single,39,15639,301
ei,Pribilof Single,51,20451,302
ei,Pribilof Single,49,19649,303
ei,Pribilof Single,61,24461,304
hybrid,Pribilof MTCA,25,10025,110
hybrid,St. Matthew MTCA,18,7218,120
hybrid,Single,350,140350,130
hybrid,Single,321,128721,801
hybrid,Single,272,109072,802
hybrid,Single,305,122305,803
hybrid,Single,285,114285,804
hybrid,Single,287,115087,805
hybrid,Single,285,114285,806
hybrid,Single,285,114285,807
hybrid,Single,294,117894,808
hybrid,Single,289,115889,809
hybrid,Single,307,123107,810
opilio,Pribilof MTCA,25,10025,110
opilio,St. Matthew MTCA,18,7218,120
opilio,Single,350,140350,130
opilio,Single,321,128721,801
opilio,Single,272,109072,802
opilio,Single,305,122305,803
opilio,Single,285,114285,804
opilio,Single,287,115087,805
opilio,Single,285,114285,806
opilio,Single,285,114285,807
opilio,Single,294,117894,808
opilio,Single,289,115889,809
opilio,Single,307,123107,810
rkc,Northern Unstratified,NA,NA,100
rkc,Pribilof MTCA,25,10025,110
rkc,Pribilof Single,36,14436,110
rkc,Pribilof Single,61,24461,130
rkc,Bristol Bay,98,39298,201
rkc,Bristol Bay,129,51729,202
rkc,Bristol Bay,98,39298,203
rkc,Bristol Bay,115,46115,204
rkc,Bristol Bay,135,54135,205
rkc,Bristol Bay,135,54135,206
rkc,Bristol Bay,136,54536,207
rkc,Pribilof Single,39,15639,301
rkc,Pribilof Single,51,20451,302
rkc,Pribilof Single,49,19649,303
rkc,Pribilof Single,61,24461,304
